"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B369_REV&0007_DB209F422280\8&1AA6D1C1&0&000A","OK","Bluetooth","Generic Attribute Profile","System.String[]"
"System Firmware 1.13.0","UEFI\RES_{9F1ECAB8-A9D1-4D01-9BF8-B91CB116B641}\0","OK","Firmware","System Firmware 1.13.0","System.String[]"
"Alex’s AirPods Avrcp Transport","BTHENUM\{0000110E-0000-1000-8000-00805F9B34FB}_VID&0001004C_PID&2002\7&B265E0C&0&94B01FA9D419_C00000000","OK","Bluetooth","Alex’s AirPods Avrcp Transport","System.String[]"
"HID-compliant mouse","HID\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894&COL01\9&7827B5D&0&0000","Unknown","Mouse","HID-compliant mouse","System.String[]"
"Microphone (HD Webcam C525)","SWD\MMDEVAPI\{0.0.1.00000000}.{C76DC8F7-D6D3-4B81-973F-63DAED3AC772}","Unknown","AudioEndpoint","Microphone (HD Webcam C525)","System.String[]"
"Microsoft Bluetooth Enumerator","BTH\MS_BTHBRB\6&191B35EC&0&1","OK","Bluetooth","Microsoft Bluetooth Enumerator","System.String[]"
"Intel(R) SMBUS - A2A3","PCI\VEN_8086&DEV_A2A3&SUBSYS_07381028&REV_00\3&11583659&0&FC","OK","System","Intel(R) SMBUS - A2A3","System.String[]"
"Hyper-V Virtual Switch Extension Adapter","ROOT\VMS_VSMP\0000","OK","Net","Hyper-V Virtual Switch Extension Adapter","System.String[]"
"WireGuard Tunnel","ROOT\NET\0000","OK","Net","WireGuard Tunnel","System.String[]"
"Generic Attribute Profile","BTHLEDEVICE\{00001801-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B034_REV&0003_D0EEF6C87894\8&1D214379&0&000A","OK","Bluetooth","Generic Attribute Profile","System.String[]"
"LG HDR 4K (2- NVIDIA High Definition Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{A598E149-55CD-4182-9D5F-BB4EE9EB65A0}","OK","AudioEndpoint","LG HDR 4K (2- NVIDIA High Definition Audio)","System.String[]"
"Bluetooth LE Generic Attribute Service","BTHLEDEVICE\{0000180F-0000-1000-8000-00805F9B34FB}_DEV_VID&02046D_PID&B35B_REV&0013_EEA0065980A5\8&16721691&0&001D","OK","Bluetooth","Bluetooth LE Generic Attribute Service","System.String[]"
"HD Webcam C525","USB\VID_046D&PID_0826&MI_00\7&39BEF298&1&0000","Unknown","MEDIA","HD Webcam C525","System.String[]"
"USB Input Device","USB\VID_413C&PID_4503&MI_02\7&B5C5EB6&0&0002","Unknown","HIDClass","USB Input Device","System.String[]"
"Brother HL-L8360CDW series","SWD\PRINTENUM\{F433F730-4601-4D44-BF4E-785B34B4EB30}","OK","PrintQueue","Brother HL-L8360CDW series","System.String[]"
"Microsoft RRAS Root Enumerator","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}","OK","SoftwareDevice","Microsoft RRAS Root Enumerator",
"Intel(R) Xeon(R) processor P family/Core i7 PCI Express Root Port A - 2030","PCI\VEN_8086&DEV_2030&SUBSYS_07381028&REV_04\3&3AA59A3&0&00","OK","System","Intel(R) Xeon(R) processor P family/Core i7 PCI Express Root Port A - 2030","System.String[]"
"TCL 8132 Sound Bar","BTHENUM\DEV_2CFDB3C85F48\7&B265E0C&0&BLUETOOTHDEVICE_2CFDB3C85F48","OK","Bluetooth","TCL 8132 Sound Bar","System.String[]"
"Speakers (EMBERTON)","SWD\MMDEVAPI\{0.0.0.00000000}.{E11905B1-B969-4555-B519-932F9C62D16F}","Unknown","AudioEndpoint","Speakers (EMBERTON)","System.String[]"
"Microsoft Windows Management Interface for ACPI","ACPI\PNP0C14\0","OK","System","Microsoft Windows Management Interface for ACPI","System.String[]"
"LG HDR 4K (2- NVIDIA High Definition Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{9AAA9C80-83F7-4CEA-B0AA-5FFE802935D3}","Unknown","AudioEndpoint","LG HDR 4K (2- NVIDIA High Definition Audio)","System.String[]"
"USB Input Device","USB\VID_413C&PID_4503&MI_01\7&B5C5EB6&0&0001","Unknown","HIDClass","USB Input Device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2066","PCI\VEN_8086&DEV_2066&SUBSYS_07381028&REV_04\3&36CB97A3&0&40","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2066","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2066","PCI\VEN_8086&DEV_2066&SUBSYS_07381028&REV_04\3&36CB97A3&0&48","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2066","System.String[]"
"NVIDIA Quadro M2000","PCI\VEN_10DE&DEV_1430&SUBSYS_11901028&REV_A1\4&AF64B88&0&0000","OK","Display","NVIDIA Quadro M2000","System.String[]"
"USB Input Device","USB\VID_413C&PID_4503&MI_00\7&B5C5EB6&0&0000","Unknown","HIDClass","USB Input Device","System.String[]"
"Microsoft Hyper-V Virtualization Infrastructure Driver","ROOT\VID\0000","OK","System","Microsoft Hyper-V Virtualization Infrastructure Driver","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2041","PCI\VEN_8086&DEV_2041&SUBSYS_07381028&REV_04\3&36CB97A3&0&51","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2041","System.String[]"
